BOOKED	NOBOOKY2	BKAGASLT	IRSEX	GENDER	ASSAULT_ARREST
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	1	2	Female	Yes
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	1	1	Male	Yes
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	1	1	Male	Yes
1	1	2	2	Female	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	1	2	Female	Yes
1	2	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	3	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	2	1	1	Male	Yes
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	1	1	Male	Yes
1	3	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	2	Female	Yes
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	1	2	Female	Yes
1	3	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	1	2	Female	Yes
1	2	1	1	Male	Yes
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	3	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	2	Female	No
1	1	1	2	Female	Yes
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	1	2	Female	Yes
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	2	1	1	Male	Yes
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	1	1	Male	Yes
1	1	2	2	Female	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	2	1	1	Male	Yes
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	3	1	1	Male	Yes
1	1	2	2	Female	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	2	Female	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	1	1	Male	Yes
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	3	2	1	Male	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	3	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	2	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	2	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	3	1	1	Male	Yes
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	2	Female	Yes
1	2	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	2	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	1	2	Female	Yes
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	1	2	Female	Yes
1	2	2	1	Male	No
1	2	2	1	Male	No
1	2	1	2	Female	Yes
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	1	2	Female	Yes
1	2	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	1	1	Male	Yes
1	1	2	1	Male	No
1	3	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	1	2	Female	Yes
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	3	1	1	Male	Yes
1	2	3	1	Male	
1	1	2	1	Male	No
1	2	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	2	1	1	Male	Yes
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	1	1	Male	Yes
1	2	1	1	Male	Yes
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	1	1	Male	Yes
1	2	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	2	1	2	Female	Yes
1	3	2	2	Female	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	1	2	Female	Yes
1	1	2	2	Female	No
1	1	1	2	Female	Yes
1	1	2	2	Female	No
1	1	2	2	Female	No
1	2	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	2	Female	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	3	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	3	1	1	Male	Yes
1	2	2	2	Female	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	3	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	2	Female	No
1	2	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	1	2	Female	Yes
1	3	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	2	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	3	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	3	2	2	Female	No
1	3	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	2	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	1	1	Male	Yes
1	1	2	2	Female	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	1	2	Female	Yes
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	3	1	1	Male	Yes
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	1	2	Female	Yes
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	1	2	Female	Yes
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	3	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	2	2	1	Male	No
1	2	2	2	Female	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	3	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	1	2	Female	Yes
1	2	2	2	Female	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	1	2	Female	Yes
1	1	1	1	Male	Yes
1	1	2	1	Male	No
1	3	1	1	Male	Yes
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	1	2	Female	Yes
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	1	1	Male	Yes
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	3	1	1	Male	Yes
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	1	1	Male	Yes
1	3	1	2	Female	Yes
1	1	2	2	Female	No
1	3	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	3	2	2	Female	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	1	1	Male	Yes
1	2	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	3	2	1	Male	No
1	3	1	1	Male	Yes
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	2	2	1	Male	No
1	2	2	1	Male	No
1	1	2	2	Female	No
1	3	2	1	Male	No
1	2	2	1	Male	No
1	3	2	2	Female	No
1	1	2	1	Male	No
1	1	1	2	Female	Yes
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	2	Female	No
1	1	2	2	Female	No
1	1	2	1	Male	No
1	1	2	1	Male	No
1	1	2	1	Male	No
